#
#"Frequency / GHz"	"VSWR1 [Magnitude]"
#-------------------------------------
1.2580000162125	1.2937944468626
1.2610000371933	1.3009636400442
1.2640000581741	1.3080514398455
1.2669999599457	1.3150466532710
1.2699999809265	1.3219384148104
1.2730000019073	1.3287156630502
1.2760000228882	1.3353676178024
1.2790000438690	1.3418835036381
1.2819999456406	1.3482526634278
1.2849999666214	1.3544646752565
1.2879999876022	1.3605091667524
1.2910000085831	1.3663760631089
1.2940000295639	1.3720555030442
1.2970000505447	1.3775380339061
1.2999999523163	1.3828140453808
1.3029999732971	1.3878747900283
1.3059999942780	1.3927115309482
1.3090000152588	1.3973160353692
1.3120000362396	1.4016803828548
1.3150000572205	1.4057971620606
1.3179999589920	1.4096594403488
1.3209999799728	1.4132607725875
1.3240000009537	1.4165950945458
1.3270000219345	1.4196570378402
1.3300000429153	1.4224417714152
1.3329999446869	1.4249449354620
1.3359999656677	1.4271629155094
1.3389999866486	1.4290927065818
1.3420000076294	1.4307317770824
1.3450000286102	1.4320785658998
1.3480000495911	1.4331317242089
1.3509999513626	1.4338911352339
1.3539999723434	1.4343568212200
1.3569999933243	1.4345298813684
1.3600000143051	1.4344119785850
1.3630000352859	1.4340053693829
1.3660000562668	1.4333132151573
1.3689999580383	1.4323392668147
1.3719999790192	1.4310878709845
1.3750000000000	1.4295641621707
1.3780000209808	1.4277740657522
1.3810000419617	1.4257238022186
1.3839999437332	1.4234206974951
1.3869999647141	1.4208722549701
1.3899999856949	1.4180870161531
1.3930000066757	1.4150737666444
1.3960000276566	1.4118422059489
1.3990000486374	1.4084022785955
1.4019999504089	1.4047647741982
1.4049999713898	1.4009407806647
1.4079999923706	1.3969420022626
1.4110000133514	1.3927805486233
1.4140000343323	1.3884690399848
1.4170000553131	1.3840206101526
1.4199999570847	1.3794486419030
1.4229999780655	1.3747670074754
1.4259999990463	1.3699898723662
1.4290000200272	1.3651319417804
1.4320000410080	1.3602079729039
1.4349999427795	1.3552331307817
1.4379999637604	1.3502228850809
1.4409999847412	1.3451928913242
1.4440000057220	1.3401590723200
1.4470000267029	1.3351373328185
1.4500000476837	1.3301439795271
1.4529999494553	1.3251951960336
1.4559999704361	1.3203072945932
1.4589999914169	1.3154966556805
1.4620000123978	1.3107794065836
1.4650000333786	1.3061718078406
1.4680000543594	1.3016897410027
1.4709999561310	1.2973489452574
1.4739999771118	1.2931647968636
1.4769999980927	1.2891521092472
1.4800000190735	1.2853253341107
1.4830000400543	1.2816982243351
1.4859999418259	1.2782837643926
1.4889999628067	1.2750939688801
1.4919999837875	1.2721401193574
1.4950000047684	1.2694321238287
1.4980000257492	1.2669788708136
1.5010000467300	1.2647877916028
1.5039999485016	1.2628649574347
1.5069999694824	1.2612148993307
1.5099999904633	1.2598404827620
1.5130000114441	1.2587431152888
1.5160000324249	1.2579223085675
1.5190000534058	1.2573761586994
1.5219999551773	1.2571009213940
1.5249999761581	1.2570913033666
1.5279999971390	1.2573404538054
1.5310000181198	1.2578401400669
1.5340000391006	1.2585806645141
1.5369999408722	1.2595511607870
1.5399999618530	1.2607396796615
1.5429999828339	1.2621333110598
1.5460000038147	1.2637182953015
1.5490000247955	1.2654802349147
1.5520000457764	1.2674041692115
1.5549999475479	1.2694747972606
1.5579999685287	1.2716764920545
1.5609999895096	1.2739935173629
1.5640000104904	1.2764101013102
1.5670000314713	1.2789105276598
1.5700000524521	1.2814792874643
1.5729999542236	1.2841009636622
1.5759999752045	1.2867605908126
1.5789999961853	1.2894434851531
1.5820000171661	1.2921353814793
1.5850000381470	1.2948225742518
1.5880000591278	1.2974915904401
1.5909999608994	1.3001298749216
1.5939999818802	1.3027250722134
1.5970000028610	1.3052655360000
1.6000000238419	1.3077402504847
1.6030000448227	1.3101386900461
1.6059999465942	1.3124510266514
1.6089999675751	1.3146679289786
1.6119999885559	1.3167809570639
1.6150000095367	1.3187819392653
1.6180000305176	1.3206634422235
